analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_a265d05411458ea4bba00779,0.5,16,0.03,nearest,schedule_next_after_transition,30,0.0,0.03697388950890857,0.022225333333333333,6.666666666666667e-07,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a2db3e2cc728affdf2f6f89b,1.25,4,0.1,ceiling,schedule_next_after_transition,30,0.0031259999999999973,0.16219209338670787,0.08023366666666668,0.02829033333333333,0.25,0.0027999833333333234,0.0034406833333333288,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a2ec4eef121dead33212b867,0.8,8,0.0003,nearest,schedule_next_after_transition,30,4.0000000000000684e-06,0.0004898636947254428,0.0002606666666666667,1.2e-05,0.125,1.333333333333279e-06,7.999999999999674e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a319cd3611f5dff834ce49ac,1.0,8,0.1,nearest,schedule_next_after_transition,30,0.0013806666666666657,0.17638533138117757,0.085477,0.010065,0.125,0.0011766666666666666,0.0015853333333333316,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a325a75498540ea611da1095,0.95,8,0.03,nearest,schedule_next_after_transition,30,0.00041066666666666704,0.054800351810672734,0.027131000000000002,0.0025366666666666667,0.125,0.0003099999999999987,0.0005206666666666665,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a3a3b2a1b1ad250763657fb7,0.5,4,0.003,ceiling,schedule_next_after_transition,30,5.333333333333359e-05,0.0022010343619770943,0.001423,9.933333333333334e-05,0.25,4.1333333333334193e-05,6.599999999999963e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a417fbb9e7170d0345f8d721,1.25,1,0.0001,floor,schedule_next_after_transition,30,3.3999999999997e-05,0.00021510612923350157,9.933333333333334e-05,5.333333333333333e-05,1.0,2.466666666665803e-05,4.466666666666323e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a49fc617bee985f0e47d9732,0.5,16,0.003,nearest,schedule_next_after_transition,30,0.0,0.0037673568809166043,0.002276666666666667,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a68704985b157128ca402185,1.25,8,0.001,floor,schedule_next_after_transition,30,0.0001766666666666657,0.002759309246712424,0.0010733333333333333,0.0002536666666666667,0.125,0.0001246666666666618,0.00024400000000000254,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a6d36602e64687eec5601d47,1.25,8,0.001,ceiling,schedule_next_after_transition,30,0.00014066666666666858,0.001839957552373802,0.0009743333333333333,0.00021633333333333332,0.125,0.0001026666666666685,0.00018133333333333426,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a6e2109c2d2873338310cfe9,0.95,1,1e-05,nearest,schedule_next_after_transition,30,5.333333333338667e-06,1.587200889290573e-05,8.666666666666668e-06,6e-06,1.0,2.6666666666693337e-06,8.666666666675335e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a76a9c73f6d0f234fc5f81c3,0.5,8,1e-05,nearest,schedule_next_after_transition,30,0.0,1.5347613743895316e-05,8.000000000000001e-06,0.0,0.125,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_a7733d80e09434a48d45a0a2,0.95,16,0.003,ceiling,schedule_next_after_transition,30,5.866666666666659e-05,0.004170913325643353,0.0027163333333333336,0.00010233333333333335,0.0625,3.933333333333288e-05,8.068333333333369e-05,mean of workload-paired AF/DF estimates,workload replication
