workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_0dfdb28a8bd0e34746c4fc36,1.0,16,ceiling,preload_all,6,0.8244696328001927,-0.9501555054623988,AF/DF midpoint before one log-log slope per workload-design
workload_0dfdb28a8bd0e34746c4fc36,1.0,16,floor,preload_all,6,0.8690983753964417,-0.1859567150107105,AF/DF midpoint before one log-log slope per workload-design
workload_0dfdb28a8bd0e34746c4fc36,1.0,16,nearest,preload_all,6,0.9302303499000136,0.1275812607303653,AF/DF midpoint before one log-log slope per workload-design
workload_0e0f90e9b3345a0c607589a7,0.5,4,ceiling,preload_all,6,0.8873630020135705,-1.1704114773422756,AF/DF midpoint before one log-log slope per workload-design
workload_0e0f90e9b3345a0c607589a7,0.5,4,floor,preload_all,6,1.0069985501656888,0.5345040096127893,AF/DF midpoint before one log-log slope per workload-design
workload_0e0f90e9b3345a0c607589a7,0.5,4,nearest,preload_all,5,1.095342539008915,0.8229018110219493,AF/DF midpoint before one log-log slope per workload-design
workload_0e22f16278c3fd7b484de105,1.1,8,ceiling,preload_all,5,0.911593339491039,-0.3881576014955306,AF/DF midpoint before one log-log slope per workload-design
workload_0e22f16278c3fd7b484de105,1.1,8,floor,preload_all,6,1.025720555293646,1.097035962595692,AF/DF midpoint before one log-log slope per workload-design
workload_0e22f16278c3fd7b484de105,1.1,8,nearest,preload_all,6,0.9798977560996686,0.6034827790333136,AF/DF midpoint before one log-log slope per workload-design
workload_0e5a1299e5d3e161ab48b9fa,0.95,1,ceiling,preload_all,6,0.865661201263177,-0.7859765162950179,AF/DF midpoint before one log-log slope per workload-design
workload_0e5a1299e5d3e161ab48b9fa,0.95,1,floor,preload_all,6,0.9671831200003224,0.1541050997126941,AF/DF midpoint before one log-log slope per workload-design
workload_0e5a1299e5d3e161ab48b9fa,0.95,1,nearest,preload_all,5,1.138071781717833,1.2301233035131696,AF/DF midpoint before one log-log slope per workload-design
workload_0e8f068e882b65884a1c9331,0.95,4,ceiling,preload_all,5,1.1072127426927147,1.1710808634250385,AF/DF midpoint before one log-log slope per workload-design
workload_0e8f068e882b65884a1c9331,0.95,4,floor,preload_all,5,1.1128998200197582,1.57512612306145,AF/DF midpoint before one log-log slope per workload-design
workload_0e8f068e882b65884a1c9331,0.95,4,nearest,preload_all,5,1.1767528525667097,1.7572824544683343,AF/DF midpoint before one log-log slope per workload-design
workload_0e8f2cc54c6763845efa785c,0.95,8,ceiling,preload_all,5,0.9445308087266588,-0.1342617199422862,AF/DF midpoint before one log-log slope per workload-design
workload_0e8f2cc54c6763845efa785c,0.95,8,floor,preload_all,6,0.9737222292065338,0.606722957971009,AF/DF midpoint before one log-log slope per workload-design
workload_0e8f2cc54c6763845efa785c,0.95,8,nearest,preload_all,5,1.0076045451543345,0.7027775156366846,AF/DF midpoint before one log-log slope per workload-design
workload_0eb13b122eb555a5c1e7b324,0.5,1,ceiling,preload_all,4,0.8294478143302,-1.1808732546332306,AF/DF midpoint before one log-log slope per workload-design
workload_0eb13b122eb555a5c1e7b324,0.5,1,floor,preload_all,4,0.952727395545596,0.1842741295052468,AF/DF midpoint before one log-log slope per workload-design
workload_0eb13b122eb555a5c1e7b324,0.5,1,nearest,preload_all,4,0.8628322901354804,-0.690262052103177,AF/DF midpoint before one log-log slope per workload-design
workload_0ed2c6e9e08e8d0033bd907d,0.95,8,ceiling,preload_all,6,1.0001024644204626,0.1980533505711484,AF/DF midpoint before one log-log slope per workload-design
workload_0ed2c6e9e08e8d0033bd907d,0.95,8,floor,preload_all,6,0.8955566257000604,0.117204322043427,AF/DF midpoint before one log-log slope per workload-design
workload_0ed2c6e9e08e8d0033bd907d,0.95,8,nearest,preload_all,6,0.8091374484720484,-0.6355700485042094,AF/DF midpoint before one log-log slope per workload-design
workload_0f1583816767ffeac0b6e1cd,0.5,1,ceiling,preload_all,5,0.9247359305993872,-1.046219621413475,AF/DF midpoint before one log-log slope per workload-design
workload_0f1583816767ffeac0b6e1cd,0.5,1,floor,preload_all,5,1.1464095425443488,1.364193171952302,AF/DF midpoint before one log-log slope per workload-design
workload_0f1583816767ffeac0b6e1cd,0.5,1,nearest,preload_all,4,0.957370092268811,-0.1975816744524767,AF/DF midpoint before one log-log slope per workload-design
workload_0f20fb9fbb0b1cd862f25879,0.5,4,ceiling,preload_all,6,0.8121903593648531,-1.6720558395791054,AF/DF midpoint before one log-log slope per workload-design
workload_0f20fb9fbb0b1cd862f25879,0.5,4,floor,preload_all,6,0.9166150206195752,-0.0477876382987997,AF/DF midpoint before one log-log slope per workload-design
workload_0f20fb9fbb0b1cd862f25879,0.5,4,nearest,preload_all,6,0.7549934616199387,-1.5215670160713557,AF/DF midpoint before one log-log slope per workload-design
workload_0f4bade7be14fa0ca38ceb06,0.5,16,ceiling,preload_all,4,1.3636960947699124,2.230203491360716,AF/DF midpoint before one log-log slope per workload-design
workload_0f4bade7be14fa0ca38ceb06,0.5,16,floor,preload_all,4,1.0052881821347297,0.5127249688362737,AF/DF midpoint before one log-log slope per workload-design
workload_0f4bade7be14fa0ca38ceb06,0.5,16,nearest,preload_all,4,1.129654378467153,0.9560023521042592,AF/DF midpoint before one log-log slope per workload-design
