configuration_id,rho,capacity,delta,quantizer,policy,arrival_scheduling_mode,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_sojourn_time,mean_occupancy,mean_collision_event_fraction,mean_collided_tick_fraction,mean_mixed_collision_rate,mean_critical_acceptance_difference_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
configuration_b1fdea49fae4f2557643dd08,1.0,8,0.01,nearest,departure_first,schedule_next_after_transition,30,0.11129666666666665,0.002800601331159424,0.8894869824176189,3.5039350932964624,4.503996218514091,4.006051904328168,0.01907975201331549,0.009598167619519319,0.009237333333333332,0.0011013333333333333,0.0005113175078850041,0.11029448435121204,0.11229884898212127
configuration_b23dbf18b67a1d41d3714bf8,1.1,1,3e-05,ceiling,departure_first,preload_all,30,0.5241166666666667,0.0023142919276609823,0.5231084921873329,0.0,1.00135460979514,0.5237916376477492,3.7033655118972995e-05,1.851740857414421e-05,1.2e-05,1.2e-05,0.0004225299644773447,0.5232885079362911,0.5249448253970422
configuration_b25513a37b3c37b356c33c06,1.25,8,0.03,ceiling,departure_first,preload_all,30,0.23952466666666666,0.0036770103423122468,0.9510653802064061,4.772672678177529,5.787599336189254,5.504156954415646,0.05229565957031869,0.026633929886335003,0.027978,0.007218666666666667,0.0006713271695547367,0.2382088654143394,0.24084046791899394
configuration_b26cd77977170178cb4f709e,0.95,4,0.03,floor,departure_first,preload_all,30,0.17555333333333334,0.003386481576985815,0.7831058887967086,1.4080549470574288,2.3935758838732615,1.874350248933301,0.06656651301402589,0.03401278574811926,0.02943933333333333,0.005362666666666667,0.0006182841167635995,0.1743414964644767,0.17676517020219
configuration_b28e113147125c505fcd673b,0.5,8,1e-05,floor,arrival_first,schedule_next_after_transition,30,0.0019426666666666665,0.0003448031255692134,0.4988141961001796,0.9662725571702588,1.965302385945452,0.9803205669645205,1.6682802798337e-05,8.341531660006588e-06,6e-06,0.0,6.29521499241815e-05,0.001819280452815271,0.002066052880518062
configuration_b2937ba1774e1c816f3c99d9,0.95,16,0.03,ceiling,arrival_first,schedule_next_after_transition,30,0.04233666666666667,0.002728930993597327,0.909331643791851,6.805970632257016,7.822020397636806,7.112849188647676,0.041652240941331284,0.02113649232776885,0.026919333333333333,0.0012346666666666667,0.0004982323543560806,0.04136013125212875,0.04331320208120459
configuration_b2c5071e054997ea0e3a243f,0.5,8,0.001,floor,departure_first,schedule_next_after_transition,30,0.00194,0.00034417317212966076,0.4988155405420595,0.9653777101181924,1.9639121237214276,0.9796297540879677,0.0017213486549462692,0.0008612579046027595,0.0010113333333333333,2.0000000000000003e-06,6.283713668784119e-05,0.0018168392120918313,0.002063160787908169
configuration_b2c98c163662ad0876bb0357,0.5,4,0.0001,ceiling,insertion_order,preload_all,30,0.03236933333333333,0.0011425166816358056,0.48386102745617166,0.7313596120569306,1.7301261719381644,0.8371369765512906,7.725037462894362e-05,3.8626985136832196e-05,5.2000000000000004e-05,5.333333333333334e-06,0.00020859405295262638,0.03196048898954618,0.03277817767712048
configuration_b2cf9bb88f692532f7a2d380,1.25,4,3e-05,nearest,departure_first,schedule_next_after_transition,30,0.29756133333333334,0.0029977781810848697,0.8769367999014539,1.7747263306642824,2.7755810867084407,2.433931153955124,5.872652807138671e-05,2.9364491231381773e-05,2.6000000000000002e-05,5.333333333333334e-06,0.0005473169107256632,0.29648859218831103,0.29863407447835566
configuration_b2dc7dcf49a69ecb217d5adc,0.95,1,1e-05,floor,departure_first,schedule_next_after_transition,30,0.4869673333333333,0.0020443866516902313,0.48716507923189406,0.0,1.0005241777543672,0.48740539982255715,1.7638908159875344e-05,8.819664221168491e-06,8.666666666666668e-06,5.333333333333334e-06,0.0003732522284643989,0.4862357589655431,0.4876989077011235
configuration_b2e23cf436f352042e88c354,1.1,16,0.001,floor,departure_first,schedule_next_after_transition,30,0.11156866666666666,0.004471752517158422,0.9757019110572139,9.369076467077267,10.367512370121522,10.115333272571286,0.0025258588442270452,0.0012640070449336115,0.0009786666666666667,0.00011666666666666667,0.0008164265750760584,0.10996847057951759,0.11316886275381574
configuration_b2e2d38df334af2aabb4a5ae,1.1,16,0.0003,ceiling,arrival_first,schedule_next_after_transition,30,0.11212866666666667,0.004622358506316828,0.9750883887990521,9.38781197742355,10.38702337570259,10.128104725963025,0.00047952308882325115,0.00023982134209642677,0.000286,3.066666666666667e-05,0.0008439233409285375,0.11047457691844674,0.1137827564148866
